sample_dir,file_path,cwe_id,flaw_cwe,flaw_line,flaw_line_content,flaw_line_type
testcases/testcase-1,testcases/testcase-1/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_01.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),33,"data = System.getenv(""ADD"");",SOURCE
testcases/testcase-1,testcases/testcase-1/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_01.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),39,response.addCookie(cookieSink);,SINK
testcases/testcase-2,testcases/testcase-2/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_02.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),49,response.addCookie(cookieSink);,SINK
testcases/testcase-2,testcases/testcase-2/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_02.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),34,"data = System.getenv(""ADD"");",SOURCE
testcases/testcase-3,testcases/testcase-3/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_03.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),34,"data = System.getenv(""ADD"");",SOURCE
testcases/testcase-3,testcases/testcase-3/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_03.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),49,response.addCookie(cookieSink);,SINK
testcases/testcase-4,testcases/testcase-4/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_04.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),41,"data = System.getenv(""ADD"");",SOURCE
testcases/testcase-4,testcases/testcase-4/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_04.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),56,response.addCookie(cookieSink);,SINK
testcases/testcase-5,testcases/testcase-5/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_05.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),41,"data = System.getenv(""ADD"");",SOURCE
testcases/testcase-5,testcases/testcase-5/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_05.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),56,response.addCookie(cookieSink);,SINK
testcases/testcase-6,testcases/testcase-6/src/main/java/testcases/CWE113_HTTP_Response_Splitting/s01/CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_06.java,113,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),39,"data = System.getenv(""ADD"");",SOURCE
